0x0000, ZwMapUserPhysicalPagesScatter
0x0001, NtWaitForSingleObject
0x0002, ZwCallbackReturn
0x0003, NtReadFile
0x0004, NtDeviceIoControlFile
0x0005, NtWriteFile
0x0006, ZwRemoveIoCompletion
0x0007, ZwReleaseSemaphore
0x0008, ZwReplyWaitReceivePort
0x0009, NtReplyPort
0x000a, NtSetInformationThread
0x000b, ZwSetEvent
0x000c, NtClose
0x000d, ZwQueryObject
0x000e, NtQueryInformationFile
0x000f, NtOpenKey
0x0010, ZwEnumerateValueKey
0x0011, ZwFindAtom
0x0012, NtQueryDefaultLocale
0x0013, ZwQueryKey
0x0014, NtQueryValueKey
0x0015, ZwAllocateVirtualMemory
0x0016, NtQueryInformationProcess
0x0017, ZwWaitForMultipleObjects32
0x0018, ZwWriteFileGather
0x0019, NtSetInformationProcess
0x001a, ZwCreateKey
0x001b, ZwFreeVirtualMemory
0x001c, ZwImpersonateClientOfPort
0x001d, ZwReleaseMutant
0x001e, NtQueryInformationToken
0x001f, ZwRequestWaitReplyPort
0x0020, ZwQueryVirtualMemory
0x0021, NtOpenThreadToken
0x0022, ZwQueryInformationThread
0x0023, NtOpenProcess
0x0024, ZwSetInformationFile
0x0025, ZwMapViewOfSection
0x0026, ZwAccessCheckAndAuditAlarm
0x0027, NtUnmapViewOfSection
0x0028, ZwReplyWaitReceivePortEx
0x0029, ZwTerminateProcess
0x002a, ZwSetEventBoostPriority
0x002b, ZwReadFileScatter
0x002c, NtOpenThreadTokenEx
0x002d, NtOpenProcessTokenEx
0x002e, NtQueryPerformanceCounter
0x002f, NtEnumerateKey
0x0030, NtOpenFile
0x0031, ZwDelayExecution
0x0032, NtQueryDirectoryFile
0x0033, NtQuerySystemInformation
0x0034, NtOpenSection
0x0035, ZwQueryTimer
0x0036, ZwFsControlFile
0x0037, NtWriteVirtualMemory
0x0038, ZwCloseObjectAuditAlarm
0x0039, ZwDuplicateObject
0x003a, ZwQueryAttributesFile
0x003b, NtClearEvent
0x003c, ZwReadVirtualMemory
0x003d, NtOpenEvent
0x003e, NtAdjustPrivilegesToken
0x003f, NtDuplicateToken
0x0040, ZwContinue
0x0041, ZwQueryDefaultUILanguage
0x0042, NtQueueApcThread
0x0043, ZwYieldExecution
0x0044, ZwAddAtom
0x0045, ZwCreateEvent
0x0046, ZwQueryVolumeInformationFile
0x0047, NtCreateSection
0x0048, ZwFlushBuffersFile
0x0049, NtApphelpCacheControl
0x004a, ZwCreateProcessEx
0x004b, NtCreateThread
0x004c, NtIsProcessInJob
0x004d, ZwProtectVirtualMemory
0x004e, NtQuerySection
0x004f, ZwResumeThread
0x0050, NtTerminateThread
0x0051, NtReadRequestData
0x0052, ZwCreateFile
0x0053, NtQueryEvent
0x0054, ZwWriteRequestData
0x0055, ZwOpenDirectoryObject
0x0056, ZwAccessCheckByTypeAndAuditAlarm
0x0058, NtWaitForMultipleObjects
0x0059, NtSetInformationObject
0x005a, ZwCancelIoFile
0x005b, NtTraceEvent
0x005c, NtPowerInformation
0x005d, ZwSetValueKey
0x005e, NtCancelTimer
0x005f, ZwSetTimer
0x0060, NtAcceptConnectPort
0x0061, ZwAccessCheck
0x0062, ZwAccessCheckByType
0x0063, ZwAccessCheckByTypeResultList
0x0064, ZwAccessCheckByTypeResultListAndAuditAlarm
0x0065, ZwAccessCheckByTypeResultListAndAuditAlarmByHandle
0x0066, ZwAddBootEntry
0x0067, NtAddDriverEntry
0x0068, NtAdjustGroupsToken
0x0069, ZwAlertResumeThread
0x006a, NtAlertThread
0x006b, ZwAllocateLocallyUniqueId
0x006c, NtAllocateReserveObject
0x006d, ZwAllocateUserPhysicalPages
0x006e, ZwAllocateUuids
0x006f, ZwAlpcAcceptConnectPort
0x0070, NtAlpcCancelMessage
0x0071, NtAlpcConnectPort
0x0072, NtAlpcCreatePort
