0x12d4, NtUserInitializeClientPfnArrays
0x10f6, NtUserProcessConnect
0x1291, ZwUserCreateWindowStation
0x132d, NtUserUnregisterUserApiHook
0x12f8, ZwUserRegisterUserApiHook
0x12d9, NtUserLoadKeyboardLayoutEx
0x1306, NtUserSetImeHotKey
0x1331, ZwUserUpdatePerUserSystemParameters
0x1319, ZwUserSetWindowStationUser
0x1297, NtUserDoSoundConnect
0x12f6, ZwUserRegisterSessionPort
0x1287, ZwUserCallHwndOpt
0x110c, ZwUserCallHwnd
0x1311, NtUserSetShellWindowEx
0x1301, ZwUserSetChildWindowNoActivate
0x128f, NtUserCreateDesktopEx
0x10e1, ZwUserSetInformationThread
0x110d, ZwUserDdeInitialize
0x1305, ZwUserSetGestureConfig
0x12da, ZwUserLockWindowStation
0x1326, ZwUserSwitchDesktop
0x132a, ZwUserUnlockWindowStation
0x1339, NtUserSetClassLongPtr
0x1320, ZwUserSfmDxReportPendingBindingsToDwm
0x129f, NtUserDwmStartRedirection
0x10c0, ZwUserSetClassLong
0x12ac, ZwUserGetDisplayConfigBufferSizes
0x12ec, NtUserQueryDisplayConfig
0x12e9, ZwUserPaintMonitor
0x1115, NtUserPaintDesktop
0x12f4, NtUserRegisterRawInputDevices
0x12e7, NtUserOpenInputDesktop
0x1059, ZwUserGetKeyboardLayoutList
0x10e2, ZwUserSetWindowPlacement
0x111e, ZwUserActivateKeyboardLayout
0x12a1, NtUserEndMenu
0x1077, ZwUserSetParent
0x1105, NtUserUnhookWinEvent
0x10bc, ZwUserDeleteMenu
0x10fa, ZwUserRemoveMenu
0x1102, ZwUserSetMenuDefaultItem
0x10dd, ZwUserDestroyMenu
0x10f7, NtUserEnumDisplayDevices
0x1045, NtUserGetCPD
0x105e, ZwUserMoveWindow
0x128b, ZwUserCheckDesktopByThreadId
0x10f1, ZwUserCreateAcceleratorTable
0x101f, NtUserHideCaret
0x1025, NtUserShowCaret
0x10ca, ZwUserSetWindowRgn
0x10c8, ZwUserInvalidateRgn
0x12c9, NtUserGetWindowMinimizeRect
0x1044, NtUserGetAsyncKeyState
0x1316, NtUserSetWindowCompositionAttribute
0x101a, ZwUserSetCursor
0x1330, NtUserUpdateLayeredWindow
0x12d7, ZwUserIsTopLevelWindow
0x12cb, ZwUserGhostWindowFromHungWindow
0x1054, ZwUserGetUpdateRect
0x109d, ZwUserDestroyWindow
0x1027, ZwUserCallHwndParamLock
0x130a, NtUserSetLayeredWindowAttributes
0x12f3, ZwUserRegisterHotKey
0x1026, ZwUserEndDeferWindowPosEx
0x1053, ZwUserDeferWindowPos
0x109c, NtUserDestroyCursor
0x1051, NtUserSetFocus
0x10ec, NtUserAttachThreadInput
0x10b6, NtUserGetDoubleClickTime
0x1070, ZwUserUnhookWindowsHookEx
0x10bb, NtUserUnregisterClass
0x10a8, NtUserSetProcessWindowStation
0x1091, ZwUserSetThreadDesktop
0x106e, NtUserFindWindowEx
0x10a6, NtUserCloseDesktop
0x10a7, NtUserOpenDesktop
0x10ae, NtUserBuildNameList
0x1003, ZwUserGetKeyState
0x102d, ZwUserNotifyWinEvent
0x102a, ZwUserCallTwoParam
0x10a4, ZwUserSetCursorIconData
0x103e, ZwUserFindExistingCursorIcon
0x1037, NtUserRegisterWindowMessage
0x1022, ZwUserGetProcessWindowStation
0x1042, NtUserSystemParametersInfo
0x108c, NtUserSetWindowsHookEx
0x106c, NtUserGetObjectInformation
0x10b0, ZwUserRegisterClassExWOW
0x1076, ZwUserCreateWindowEx
0x105f, NtUserPostThreadMessage
0x10a9, ZwUserGetAtomName
0x1310, NtUserSetProcessDPIAware
0x1095, NtUserSetWindowFNID
0x132e, ZwUserUpdateInputContext
0x10b9, NtUserGetClassInfoEx
0x104f, NtUserGetIconInfo
0x1058, NtUserShowWindow
0x1088, ZwUserGetIconSize
0x1098, ZwUserThunkedMenuItemInfo
0x1061, NtUserGetSystemMenu
0x10f4, ZwUserGetCaretBlinkTime
0x105c, NtUserSetWindowLong
0x1024, NtUserSetWindowPos
0x107b, NtUserGetClassName
0x1021, ZwUserCallHwndLock
0x1308, ZwUserSetImeOwnerWindow
0x1289, NtUserChangeWindowMessageFilterEx
0x1013, NtUserRedrawWindow
0x10ff, ZwUserGetGUIThreadInfo
0x1104, NtUserSetWinEventHook
0x10b2, NtUserGetAncestor
0x1060, NtUserDrawIconEx
0x12c6, ZwUserGetWindowCompositionAttribute
0x12c7, ZwUserGetWindowCompositionInfo
0x12ca, NtUserGetWindowRgnEx
0x109e, NtUserCallHwndParam
0x10db, NtUserTrackMouseEvent
0x1092, NtUserGetDCEx
0x10e0, ZwUserSetActiveWindow
0x1114, ZwUserEnumDisplaySettings
0x103c, ZwUserGetForegroundWindow
0x104a, ZwUserEnumDisplayMonitors
0x101c, NtUserBuildHwndList
0x1000, ZwUserGetThreadState
0x1007, ZwUserMessageCall
0x1018, NtUserSetTimer
0x100a, NtUserGetDC
0x1004, NtUserInvalidateRect
0x1019, ZwUserEndPaint
0x1017, NtUserBeginPaint
0x1036, NtUserDispatchMessage
0x104c, ZwUserSetProp
0x1046, NtUserRemoveProp
0x133a, ZwUserSetWindowLongPtr
0x100f, NtUserPostMessage
0x1030, NtUserSetScrollInfo
0x1010, NtUserQueryWindow
0x100e, NtUserGetProp
0x1064, NtUserGetWindowDC
0x1063, ZwUserInternalGetWindowText
0x1097, ZwUserCalcMenuBar
0x108f, ZwUserGetTitleBarInfo
0x1093, NtUserGetScrollBarInfo
0x104e, ZwUserSBGetParms
0x1001, NtUserPeekMessage
0x101b, ZwUserKillTimer
0x10ea, ZwUserRealInternalGetMessage
0x1016, NtUserValidateTimerCallback
0x100c, ZwUserWaitMessage
0x1322, ZwUserSfmDxSetSwapChainStats
0x1006, ZwUserGetMessage
0x1002, NtUserCallOneParam
0x1005, NtUserCallNoParam
0x1083, NtUserGetThreadDesktop
0x10df, ZwUserConsoleControl
0x106b, NtUserScrollDC
0x12db, ZwUserLockWorkStation
0x1286, NtUserCalculatePopupWindowPosition
0x1295, ZwUserDisplayConfigGetDeviceInfo
0x10f2, NtUserGetCursorFrameInfo
0x1028, NtUserVkKeyScanEx
0x1079, NtUserToUnicodeEx
0x12ba, NtUserGetMenuItemRect
0x10cb, ZwUserBitBltSysBmp
0x10d1, ZwUserSetClipboardData
0x10fd, ZwUserConvertMemHandle
0x10f8, ZwUserEmptyClipboard
0x10f9, NtUserGetClipboardData
0x10eb, ZwUserCreateLocalMemHandle
0x101e, NtUserCallNextHookEx
0x128d, NtUserChildWindowFromPointEx
0x10cd, NtUserValidateRect
